k_features,cv_average_precision,last_added
1,0.11094957171541053,age
2,0.1324271256959469,lab_mean_50902
3,0.1424260176299041,lab_max_50824
4,0.14328152696287438,lab_t_range_50902
5,0.14679940426182453,vital_count_220621
6,0.14712590597943395,lab_min_51301
7,0.15004025117031677,vital_std_220621
8,0.15029404805061813,lab_min_50902
9,0.1560970785831722,vital_range_678
10,0.15737906379805444,lab_range_50912
11,0.15830394636660078,lab_mean_51265
